"授業の進捗が遅く、予定していた範囲まで終わりませんでした。。 (コメントID: 1, 8553)"
"ネットワーク環境が安定しており、快適に受講できました。。 (コメントID: 2, 3825)"
"質問への回答が的確で、疑問が解消されました。ありがとうございます。。 (コメントID: 3, 9842)"
"Webカメラの映像が固まり、講師の動きが途切れていました。。 (コメントID: 4, 7543)"
"Wi-Fi接続が不安定で、授業中に何度も切断されました。根本的な対策を望みます。。 (コメントID: 5, 9222)"
"資料がカラーで分かりやすいです。印刷もしやすいレイアウトで助かります。。 (コメントID: 6, 7643)"
"運営チームのサポートが迅速で、問題解決が早かったです。でした。 (コメントID: 7, 6564)"
"とても役立つ情報で、明日からすぐに実践できそうです。。 (コメントID: 8, 8205)"
"受講者からの質問にも丁寧に答えてくださり、理解が深まりました。と感じました。 (コメントID: 9, 2341)"
"運営チームのサポートが迅速で、問題解決が早かったです。です。 (コメントID: 10, 5362)"
"今回の内容を復習するために、追加の参考資料があれば教えてください。でした。 (コメントID: 11, 8224)"
"配布資料の内容が理解しづらいです。もっと噛み砕いた説明をお願いします。。 (コメントID: 12, 1979)"
"授業録画の公開はいつ頃になりますでしょうか？復習に利用したいです。と感じました。 (コメントID: 13, 8173)"
"ヘッドホンから異音がします。確認をお願いします。。 (コメントID: 14, 6575)"
"授業の開始時間が遅れることがあり、スケジュールに影響が出ました。でした。 (コメントID: 15, 2910)"
"講義の途中で急に通信が切断されました。すぐに再接続できましたが、驚きました。と感じました。 (コメントID: 16, 6103)"
"ネットワーク環境が安定しており、快適に受講できました。でした。 (コメントID: 17, 4628)"
"講師の熱意が伝わってきて、非常に感銘を受けました。と思います。 (コメントID: 18, 7232)"
"運営側のレスポンスが遅く、質問の解決に時間がかかりました。もう少し迅速な対応を希望します。。 (コメントID: 19, 6412)"
"音声が途切れ途切れで、重要な部分が聞き取れませんでした。と思います。 (コメントID: 20, 1345)"
"資料がPDFでダウンロードできるのは便利ですが、検索可能な形式だとより助かります。と思います。 (コメントID: 21, 9187)"
"質問です。この問題の背景について、もう少し詳しく説明していただけますか？と感じました。 (コメントID: 22, 2606)"
"質問への回答が的確で、疑問が解消されました。ありがとうございます。ですね。 (コメントID: 23, 6611)"
"事務手続きが煩雑で、サポートに連絡してもなかなか繋がらない。です。 (コメントID: 24, 8984)"
"今回の内容を復習するために、追加の参考資料があれば教えてください。でした。 (コメントID: 25, 6322)"
"もう少しインタラクティブな要素があれば、飽きずに受講できたと思います。。 (コメントID: 26, 8156)"
"通信環境が悪く、映像がカクついていました。回線速度の問題でしょうか？。 (コメントID: 27, 1239)"
"講義の途中で急に通信が切断されました。すぐに再接続できましたが、驚きました。。 (コメントID: 28, 9598)"
"もう少しインタラクティブな要素があれば、飽きずに受講できたと思います。。 (コメントID: 29, 8779)"
"講義内容の構成が論理的で、非常に理解しやすかったです。ですね。 (コメントID: 30, 2024)"
"質問です。授業の録画はどこで視聴できますか？。 (コメントID: 31, 3346)"
"Webカメラの解像度が低く、板書が見づらかったです。改善希望。と感じました。 (コメントID: 32, 9647)"
"資料の構成が非常に論理的で、理解しやすかったです。。 (コメントID: 33, 7229)"
"通信エラーが頻発し、まともに授業が受けられませんでした。返金してほしい。です。 (コメントID: 34, 9915)"
"授業内容が非常に分かりやすく、満足しています。と感じました。 (コメントID: 35, 5829)"
"講師の説明が非常に分かりやすかったです。と感じました。 (コメントID: 36, 5704)"
"運営からの連絡が遅く、重要な情報を見落とすところでした。。 (コメントID: 37, 9131)"
"受講者間の交流が少なく、もう少し議論の機会が欲しいです。でした。 (コメントID: 38, 8193)"
"急な通信切断が発生し、授業が中断されました。非常に困りました。ですね。 (コメントID: 39, 3544)"
"講師の説明が冗長で、内容が頭に入ってこなかった。。 (コメントID: 40, 6541)"
"もう少しインタラクティブな要素があれば、飽きずに受講できたと思います。。 (コメントID: 41, 2503)"
"事務手続きが煩雑で、サポートに連絡してもなかなか繋がらない。と感じました。 (コメントID: 42, 7225)"
"運営からの連絡が遅く、重要な情報を見落とすところでした。ですね。 (コメントID: 43, 3506)"
"授業の進め方が非常にスムーズで、ストレスなく受講できました。でした。 (コメントID: 44, 1385)"
"チャットの文字が小さすぎて読めません。ズーム機能が欲しいです。と思います。 (コメントID: 45, 3466)"
"Webカメラの映像が突然消えました。再起動しても治りません。緊急です。です。 (コメントID: 46, 8677)"
"この課題の解決策について、具体的なアプローチを教えていただけますか？。 (コメントID: 47, 6628)"
"Wi-Fi接続が不安定で、授業中に何度も切断されました。根本的な対策を望みます。でした。 (コメントID: 48, 7873)"
"今回の内容を復習するために、追加の参考資料があれば教えてください。。 (コメントID: 49, 3330)"
"授業の録画ファイルが提供されないのは不便です。ぜひ提供してほしい。と思います。 (コメントID: 50, 9807)"
"もう少しインタラクティブな要素があれば、飽きずに受講できたと思います。でした。 (コメントID: 51, 7916)"
"授業内容が非常に分かりやすく、満足しています。。 (コメントID: 52, 5046)"
"オンライン授業のURLが直前まで共有されず、アクセスに手間取った。ですね。 (コメントID: 53, 2929)"
"講義の途中で急に通信が切断されました。すぐに再接続できましたが、驚きました。。 (コメントID: 54, 5774)"
"もう少しインタラクティブな要素があれば、飽きずに受講できたと思います。と感じました。 (コメントID: 55, 9330)"
"講師の説明が冗長で、内容が頭に入ってこなかった。です。 (コメントID: 56, 3813)"
"配布されたPDF資料の一部が破損していて開けませんでした。再アップロードをお願いします。ですね。 (コメントID: 57, 4663)"
"オンラインシステムの動作が重く、応答が遅いです。。 (コメントID: 58, 7859)"
"カメラの映像がブレて見づらいです。でした。 (コメントID: 59, 5225)"
"チャット機能が動作せず、リアルタイムで質問ができませんでした。インフラの問題か確認したいです。でした。 (コメントID: 60, 8712)"
"資料に記載のURLが機能していません。。 (コメントID: 61, 7516)"
"ヘッドセット推奨の案内がなく、音質に苦しみました。と感じました。 (コメントID: 62, 2740)"
"Webカメラの映像が突然消えました。再起動しても治りません。緊急です。。 (コメントID: 63, 9832)"
"資料の構成が非常に論理的で、理解しやすかったです。。 (コメントID: 64, 3934)"
"他の受講者の音声が混線し、聞き取りづらい時がありました。。 (コメントID: 65, 1255)"
"ヘッドホンから異音がします。確認をお願いします。ですね。 (コメントID: 66, 9815)"
"このシステムを使わせるなら、もっとマシなものを提供しろ。ですね。 (コメントID: 67, 5504)"
"資料の構成が複雑で、どこから読めばいいか迷いました。ですね。 (コメントID: 68, 9549)"
"資料に記載のURLが機能していません。。 (コメントID: 69, 1806)"
"オンライン授業のURLが直前まで共有されず、アクセスに手間取った。です。 (コメントID: 70, 3399)"
"今回の内容を踏まえ、次回の授業までに復習を徹底しておこうと思います。でした。 (コメントID: 71, 7134)"
"急な通信切断が発生し、授業が中断されました。非常に困りました。と感じました。 (コメントID: 72, 1355)"
"質問です。この概念の具体的な応用例をもっと知りたいです。と思います。 (コメントID: 73, 9867)"
"急な通信切断が発生し、授業が中断されました。非常に困りました。。 (コメントID: 74, 3967)"
"通信環境が悪く、映像がカクついていました。回線速度の問題でしょうか？。 (コメントID: 75, 9908)"
"この授業で得た知識は、私のキャリアに大きく貢献するでしょう。と思います。 (コメントID: 76, 5013)"
"非常に勉強になりました。ありがとうございました。と感じました。 (コメントID: 77, 9301)"
"授業の進捗が遅く、予定していた範囲まで終わりませんでした。と感じました。 (コメントID: 78, 7381)"
"この授業で得た知識は、私のキャリアに大きく貢献するでしょう。と感じました。 (コメントID: 79, 9414)"
"資料の構成が非常に論理的で、理解しやすかったです。です。 (コメントID: 80, 9177)"
"資料の構成が非常に論理的で、理解しやすかったです。。 (コメントID: 81, 9283)"
"マイクの音声が小さく、調整しても改善しませんでした。と思います。 (コメントID: 82, 1688)"
"講義の途中で急に通信が切断されました。すぐに再接続できましたが、驚きました。。 (コメントID: 83, 1309)"
"資料に記載のURLが機能していません。。 (コメントID: 84, 7742)"
"非常に勉強になりました。ありがとうございました。ですね。 (コメントID: 85, 6557)"
"資料が文字ばかりで、図やグラフが少ないと感じました。と感じました。 (コメントID: 86, 6039)"
"資料のレイアウトがごちゃごちゃしていて、どこを読めばいいか分かりづらかったです。。 (コメントID: 87, 8821)"
"講義の途中で急に通信が切断されました。すぐに再接続できましたが、驚きました。。 (コメントID: 88, 6358)"
"ヘッドセット推奨の案内がなく、音質に苦しみました。。 (コメントID: 89, 1467)"
"授業中に突然のポップアップ通知があり、邪魔でした。。 (コメントID: 90, 7719)"
"質問への回答が遅く、授業中に解決できませんでした。と思います。 (コメントID: 91, 8673)"
"資料の構成が非常に論理的で、理解しやすかったです。。 (コメントID: 92, 8107)"
"Webカメラの映像が突然消えました。再起動しても治りません。緊急です。です。 (コメントID: 93, 2625)"
"ヘッドホンから異音がします。確認をお願いします。と思います。 (コメントID: 94, 7553)"
"資料がPDFでダウンロードできるのは便利ですが、検索可能な形式だとより助かります。。 (コメントID: 95, 7964)"
"先生の説明速度が速すぎて、メモを取るのが追いつきませんでした。もう少しゆっくり話していただけると助かります。ですね。 (コメントID: 96, 9631)"
"資料の図が古く、現在の状況と一致していません。でした。 (コメントID: 97, 8508)"
"講師の説明が非常に分かりやすかったです。ですね。 (コメントID: 98, 1098)"
"チャットの文字が小さすぎて読めません。ズーム機能が欲しいです。。 (コメントID: 99, 7816)"
"この授業で得た知識は、私のキャリアに大きく貢献するでしょう。ですね。 (コメントID: 100, 5529)"
